# Rule ID 	Type 	Signature 	Tag 	Score 	Match zone
# Downloaded from https://rlinfo.nemesida-security.com/ on 29/11/2021
1042	RL	table_name	SQLi	6	BODY|URL|ARGS
1043	RLx	\`\`\s*\`\`	SQLi	2	BODY|URL|ARGS
1044	RL	table.name	SQLi	6	BODY|URL|ARGS
1045	RL	isnull	SQLi	2	BODY|URL|ARGS|HEADERS
1046	RLx	_(en|de)crypt\W*\(	SQLi	6	BODY|URL|ARGS|HEADERS
1049	RL	create_digest	SQLi	6	BODY|URL|ARGS|HEADERS
1050	RLx	log\d+\W*(\(|\))	SQLi	8	URL|ARGS
1053	RLx	/(bin|sbin)/	Other	4	BODY|URL|ARGS|HEADERS
1055	RL	to_base64	SQLi	6	BODY|URL|ARGS|HEADERS
1056	RLx	[^-:=\.\w\|]replace[^-:=\.\w\|]	SQLi	4	BODY|URL|ARGS|HEADERS
1057	RL	master_pos_wait	SQLi	8	URL|ARGS
1059	RL	str_replace	SQLi	8	BODY|ARGS
1060	RL	user_meta	SQLi	8	BODY|URL|ARGS
1061	RL	regexp	SQLi	2	BODY|ARGS
1063	RLx	\d+[\'\`]	SQLi	8	URL
1064	RL	wp_comment	SQLi	8	BODY|URL|ARGS
1065	RL	wp_usermeta	SQLi	8	BODY|URL|ARGS
1066	RL	wp_post	SQLi	8	BODY|URL|ARGS
1067	RL	wp_term	SQLi	8	BODY|URL|ARGS
1068	RL	wp_user	SQLi	8	BODY|ARGS
1069	RL	wp_options	SQLi	8	BODY|ARGS
1072	RLx	\Wprint(_r|ln)?\W*\(	SQLi	12	BODY|URL|ARGS|HEADERS
1075	RLx	\d\'\s*\w+=(\d+|\')	SQLi	12	URL|ARGS
1077	RLx	=(\-\w+|\w+[\'\)\"])(.|\s){0,30}\s+where\s+(.|\s){0,30}\s+(OR|AND)	SQLi	12	BODY|URL|ARGS|HEADERS
1078	RLx	ctx=web\&cache_filename=.+\.php.+IMresizedData=\<\?php	SQLi	12	BODY
1081	RLx	\w+=\d+\'($|\s)	SQLi	12	URL|ARGS
1085	RLx	\d+[\'\`]	SQLi	2	BODY|ARGS|HEADERS
1086	RLx	(\b(m(s(ysaccessobjects|ysaces|ysobjects|ysqueries|ysrelationships|ysaccessstorage|ysaccessxml|ysmodules|ysmodules2|db)|aster\.\.sysdatabases|ysql\.db)\b|s(ys(\.database_name|aux)\b|chema(\W*\(|_name\b)|qlite(_temp)?_master\b)|d(atabas|b_nam)e\W*\(|information_schema\b|pg_(catalog|toast)\b|northwind\b|tempdb\b))	SQLi	8	BODY|URL|ARGS|HEADERS
1087	RLx	sleep\((\s*?)(\d*?)(\s*?)\)|benchmark\((.{0,100}?),(.{0,100}?)\)	SQLi	12	BODY|URL|ARGS|HEADERS
1088	RLx	(((select|;)\s+(benchmark|if|sleep)\s*?\(\s*?\(?\s*?\w+))	SQLi	12	BODY|URL|ARGS|HEADERS
1090	RLx	((alter\s*?\w+.{0,100}?(character|char)\s+set\s+\w+)|([\"'`];*?\s*?waitfor\s+(time|delay)\s+[\"'`])|([\"'`];.{0,100}\s*?\Wgoto\W))	SQLi	8	BODY|URL|ARGS|HEADERS
1091	RLx	\Wunion(.|\s){1,500}select(.|\s){1,500}from\W	SQLi	12	BODY|URL|ARGS|HEADERS
1092	RLx	((select\s*?pg_sleep)|(waitfor\s*?delay\s?[\"'`]+\s?\d)|(;\s*?shutdown\s*?(;|--|#|/\*|{)))	SQLi	8	BODY|URL|ARGS|HEADERS
1093	RLx	((\[\$(ne|eq|lte?|gte?|n?in|mod|all|size|exists|type|slice|x?or|div|like|between|and)\]))	SQLi	12	BODY|URL|ARGS|HEADERS
1094	RLx	((procedure\s+analyse\s*?\()|(;\s*?(declare|open)\s+[\w-]+)|(create\s+(procedure|function)\s*?\w+\s*?\(\s*?\)\s*?-)|(declare[^\w]+[@#]\s*?\w+)|(exec\s*?\(\s*?@))	SQLi	8	BODY|URL|ARGS|HEADERS
1095	RLx	((create\s+function\s+.{1,5000}\s+returns)|(;\s*?(select|create|rename|truncate|load|alter|delete|update|insert|desc)\s*?[\[(]?\w{2,}))	SQLi	8	BODY|URL|ARGS|HEADERS
1096	RLx	xp_(servicecontrol|regread|regwrite|regdeletevalue|regdeletekey|fileexist|enumerrorlogs|readerrorlogs|enumdsn|enumgroups|ntsec_enumdomains)	SQLi	12	BODY|URL|ARGS|HEADERS
1099	RLx	(^|&)src=[^&]*?(http|ftp)	SQLi	12	URL
1100	RLx	[?&]home=[^&]*?(http|ftp)	Other	12	URL
1102	RLx	[?&]size=[^&]*?\x3b	SQLi	12	ARGS
1104	RL	action=getTopic	SQLi	8	BODY
1105	RLx	\[\#markup\]\=\S+\s+\S+	RCE	12	BODY|URL|ARGS
1107	RL	found_rows	SQLi	8	URL|ARGS
1108	RL	tceles	SQLi	4	URL|ARGS|Cookie
1109	RLx	information(_|\.)schema	SQLi	12	BODY|URL|ARGS|HEADERS
1110	RLx	(\s|\+)(infile|outfile|dumpfile)(\s|\+)	SQLi	8	BODY|URL|ARGS|HEADERS
1111	RL	noinu	SQLi	4	URL|ARGS
1112	RL	substring%	SQLi	8	BODY|URL|ARGS|HEADERS
1115	RL	@@version	SQLi	8	BODY|URL|ARGS|HEADERS
1116	RL	schema	SQLi	6	URL|ARGS
1117	RL	datadir	SQLi	8	BODY|URL|ARGS|HEADERS
1118	RL	hostname	SQLi	4	BODY|URL|ARGS|HEADERS
1119	RL	rowcount	SQLi	4	BODY|URL|ARGS|HEADERS
1120	RLx	\s;\s	SQLi	8	URL|ARGS
1121	RL	coercibility	SQLi	8	URL|ARGS
1123	RL	COLLATION	SQLi	8	URL|ARGS
1124	RL	CONNECTION_ID	SQLi	8	URL|ARGS
1125	RL	current_user	SQLi	8	URL|ARGS
1126	RL	last_insert_id	SQLi	8	URL|ARGS
1127	RL	row_count	SQLi	8	URL|ARGS
1128	RL	session_user	SQLi	8	URL|ARGS
1129	RL	@user	SQLi	8	URL|ARGS
1130	RLx	/%?\*(.|\s){0,250}\*%?/	SQLi	6	URL|ARGS
1131	RLx	/%?\*(.|\s){0,300}\*%?/	SQLi	2	BODY
1132	RLx	((/%?\*(.|\s){0,300}\*%?/)(.|\s){0,300}){3,}	SQLi	12	BODY|URL|ARGS|HEADERS
1133	RLx	name\[\d+.{20,}\]	SQLi	12	BODY
1134	RLx	admin(istrator)?'--	SQLi	12	BODY|URL|ARGS|HEADERS
1136	RLx	^(file|ftps?|https?)://(.{0,500})$	SQLi	8	ARGS
1137	RLx	%0(.|\s){0,50}([a-z]%){3,}	SQLi	12	BODY|URL|ARGS|HEADERS
1138	RLx	(%\w%.{0,500}){5,}	SQLi	8	BODY|URL|ARGS|HEADERS
1139	RL	validate_password_strength	SQLi	8	URL|ARGS
1141	RL	libraryContent	SQLi	8	BODY
1142	RL	base64_decode	SQLi	8	BODY
1143	RL	globals[	RCE	8	BODY|URL|ARGS
1144	RLx	\Wresponse\.(write|flush|clear)\W*\(	Injection	12	BODY|URL|ARGS|HEADERS
1145	RLx	\w=\/?\.{1,2}(\\|\/)	LFI	8	BODY|ARGS|Referer
1311	RL	<?	RCE	4	BODY
1312	RL	?>	RCE	4	BODY
1313	RL	<?php	RCE	12	BODY|URL|ARGS|HEADERS
1314	RLx	\$_\w+\[	Other	12	BODY|URL|ARGS|HEADERS
1316	RL	get_defined_functions	RCE	12	BODY|URL|ARGS|HEADERS
1317	RL	_PHPLIB[libdir]	Other	8	BODY|URL|ARGS|HEADERS
1318	RLx	auto_prepend_file|auto_append_file	RFI	12	URL|ARGS
1319	RL	var_dump	Other	12	BODY|URL|ARGS|HEADERS
1322	RL	burpcollaborator.net	Scanner	12	BODY|URL|ARGS|HEADERS
1324	RL	constructor.constructor	Other	8	BODY
1352	RL	XAttacker.php	Other	12	BODY|URL|ARGS
1359	RLx	\%0(0|A|D)	Evasion	12	URL|ARGS
1397	RLx	include.?dir\x3D	Other	12	URL
1398	RLx	path=(https?|ftps?|php)	Other	12	URL
1399	RLx	php\?goto=(https?|ftps?|php)	RFI	12	URL
1431	RLx	/(admin/addcontent\.inc|images/psg)\.php	Other	12	URL
1432	RL	|50 4B 05 06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00|	Other	8	BODY|URL|ARGS|HEADERS
1433	RL	$padd = str_repeat(|22|A|22|, 196)	Other	8	BODY|URL|ARGS|HEADERS
1434	RL	$evil = $padd.$payload	Other	8	BODY|URL|ARGS|HEADERS
1439	RL	Content-Length: 0|0D 0A|	Other	8	URL
1459	RL	svg>	XSS	3	BODY
1491	RLx	[^-:\.\w\|]exec[^-:\.\w\|/]	Injection	12	BODY|URL|ARGS|HEADERS
1493	RLx	\Wdie\W*\(	RCE	12	BODY|URL|ARGS|HEADERS
1494	RL	action=after_upload_complete	Other	8	BODY|ARGS
1497	RLx	(.{1,50}\(.{1,50}\)){3,}	Other	12	URL
1500	RLx	\.(.{0,250})~($|\s)	UWA	12	URL
1501	RLx	src=https?\x3a\x2f[^\x26\x20]*?(\x24\x28|%24%28)	UWA	12	URL|ARGS
1502	RL	.vscode	Other	12	URL
1505	RLx	\.(gemfile|gemfile|rb|irbrc)($|\s|\:)	UWA	12	URL
1506	RLx	\.(bzr|project|sublime(-workspace)?|md|svn|gitkeep|s3cfg|(git|hg|cvs)(ignore)?|subversion|csproj|(ftp)?config|cfg|atom|vb|vscode|circleci)($|\s|\/|\:)	UWA	12	URL
1512	RLx	\.php[^3-7\/s][\w\-\_~]*(\.\w+)?$	UWA	12	URL
1513	RLx	\.(py|pydevproject|pl|cgi)($|\s|\:)	UWA	12	URL
1515	RL	.ds_store	UWA	12	URL
1516	RLx	\.(jar|jsp|jspx|jspf|java|coffee|war|yml|cfm)($|\s|\:)	UWA	12	URL
1517	RLx	\.(conf|ssh|ini|inc|env|inc|viminfo|properties|dead\.letter|passwd|schema)($|\s|\:)	UWA	12	URL
1518	RLx	\.(phpinc|save|sav|swp|swo|lock|old|orig|log|tmp|temp|restore|suspected)($|\s|\:)	UWA	12	URL
1519	RLx	\.(bz2|gz|tar|xz|lzma)($|\s|\:)	UWA	4	URL
1521	RL	sftp-config.json	UWA	12	URL
1522	RL	.idea/	UWA	12	URL
1523	RLx	^/wp-content/plugins/($|\s)	UWA	12	URL
1524	RLx	/wp-content/plugins/.{1,250}/cache/	UWA	12	URL
1526	RLx	\.(mdb|db|sqlite|sql)($|\s|\:)	UWA	12	URL
1528	RLx	id_(rsa|dsa)\.ppk($|\s|\:)	UWA	12	URL
1559	RLx	etc/(passwd|shadow)	UWA	12	BODY|URL|ARGS|HEADERS
1560	RL	system.ini	UWA	12	URL
1561	RLx	\.(ksh|rsh|tcsh|csh|zsh|zshrc|bash|bash_profile|rksh|sh_history)($|\s|\:)	UWA	12	URL
1562	RLx	\.(bat|exe|dll|dat)($|\s|\:)	UWA	12	URL
1808	RL	composer.json	UWA	12	URL
1810	RLx	%commonprogramfiles%|%programdata%|%programfiles%	UWA	12	URL|ARGS
1811	RLx	%psmodulepath%|%public%|%appdata%|%localappdata%	UWA	12	URL|ARGS
1812	RLx	%allusersprofile%|%userdata%|%username%|%userprofile%	UWA	12	URL|ARGS
1813	RLx	%homedrive%|%homepath%	UWA	12	URL|ARGS
1814	RLx	%homedrive%|%homepath%	UWA	12	URL|ARGS
1816	RLx	%systemdrive%|%systemroot%|%windir%|%comspec%	UWA	12	URL|ARGS
1818	RLx	%PATH%|%PATHEXT%	UWA	8	URL|ARGS
1819	RLx	%COMPUTERNAME%|%LOGONSERVER%|%PROMPT%|%USERDOMAIN%	UWA	8	URL|ARGS
1820	RL	db_details_importdocsql.php	UWA	8	URL
1821	RLx	/(global|dnewsweb|swsrv|ikonboard)\.cgi	UWA	8	URL
1822	RL	/math_sum.mscgi	UWA	8	URL|ARGS
1823	RLx	/(ksh|rsh|tcsh|csh|zsh|zshrc|bash|bash_profile|rksh)($|\s)	UWA	12	URL|ARGS
1826	RLx	\/(math_sum.mscgi|htsearch|printenv|db2www|document.d2w)	UWA	12	URL
1827	RL	/admentor/admin/admin.asp	UWA	8	URL
1830	RL	/timthumb.php	UWA	4	URL
1831	RL	/timthumbdir/cache	UWA	4	URL
1832	RL	/w3tc/dbcache	UWA	8	URL
1834	RL	php://	UWA	12	BODY|URL|ARGS|HEADERS
1835	RL	ftp://	UWA	12	BODY|URL|ARGS|HEADERS
1836	RL	zlib://	UWA	12	BODY|URL|ARGS|HEADERS
1837	RL	data://	UWA	12	BODY|URL|ARGS|HEADERS
1838	RL	glob://	UWA	12	BODY|URL|ARGS|HEADERS
1839	RL	phar://	UWA	12	BODY|URL|ARGS|HEADERS
1840	RL	file://	UWA	8	BODY|URL|ARGS|HEADERS
1841	RL	/cfide/componentutils	UWA	12	URL
1842	RL	/mysqldumper	UWA	12	URL
1843	RLx	php(pg|my)admin	UWA	12	URL
1845	RL	/bin/sh	UWA	12	BODY|URL|ARGS|HEADERS
1846	RL	.htpasswd	UWA	12	URL|ARGS
1847	RL	.htaccess	UWA	12	URL|ARGS
1848	RL	whitelist.pac	UWA	12	URL
1849	RL	proxy.pac	UWA	12	URL
1850	RL	(?p=b)((?p=b)(?j:(?p<b>c)(?p<b>a(?p=b)))>wgxcredits)	UWA	12	BODY|ARGS|HEADERS
1851	RL	0000::1	UWA	12	X-Forward-For
1852	RL	127.0.0	UWA	12	X-Forward-For
1853	RL	(?j:(?|(:(?|(?'r')(\k'r')|((?'r')))h'rk'rf)|s(?'r'))))	UWA	12	HEADERS
1854	RL	/var/www/	UWA	12	URL|ARGS
1856	RL	/philboard_admin.asp	UWA	12	URL|ARGS
1857	RL	/cgi-bin/ls	UWA	8	URL|ARGS
1860	RL	/wp-includes/rss-functions.php	UWA	12	URL
1861	RL	/wp-content/themes/RightNow/includes/uploadify/upload_settings_image.php	UWA	12	BODY
1866	RLx	stdin|stdout|stderr	UWA	4	BODY|URL|ARGS|HEADERS
1868	RL	X-Pingback-Forwarded-For:	UWA	8	X-Forward-For
1869	RLx	/dev/(tcp|udp)	UWA	12	BODY|ARGS|HEADERS
1870	RL	/sqlite/main.php	UWA	12	URL|ARGS
1871	RLx	\Wphpinfo\W*\(	Injection	12	BODY|URL|ARGS|HEADERS
1872	RLx	/~(root|ftp|nobody)	UWA	12	BODY|URL|ARGS
1873	RL	/htmlscript	UWA	12	URL
1876	RL	/post-query	UWA	8	URL
1877	RL	%COMMONPROGRAMFILES|40|x86|41|%	UWA	12	URL|ARGS
1879	RLx	[^/]https?:/	UWA	12	URL
1882	RL	javascript:	XSS	12	BODY|URL|ARGS
1883	RL	/DatabaseFunctions.php	UWA	8	URL
1884	RL	/GlobalFunctions.php	UWA	8	URL
1885	RL	/UpdateClasses.php	UWA	8	URL
1886	RL	/scripts/setup.php	UWA	12	URL
1887	RLx	(phpinfo|phpsysinfo)\.php	UWA	12	URL
1888	RL	/server_sync.php	UWA	12	URL
1891	RL	PageServices	UWA	8	URL|ARGS
1892	RL	/htgrep	UWA	8	URL
1893	RL	/WEB-INF	UWA	6	URL
1894	RL	/proc/self/	UWA	12	BODY|URL|ARGS
1895	RL	phpb8b5f2a0-3c92-11d3-a3a9-4c7b08c10000	UWA	4	ARGS
1896	RLx	phpe9568f3(4|5|6)-d428-11d2-a769-00aa001acf42	UWA	4	ARGS
1897	RLx	/_vti_(adm|bin)/	UWA	12	URL
1898	RL	/_vti_rpc	UWA	12	URL
1899	RL	/server-status	UWA	12	URL
1900	RL	/balancer-manager	UWA	12	URL
1901	RL	/host-manager/	UWA	12	URL
1902	RL	fx29shcook	UWA	8	URL
1903	RLx	act=\S+&(d|f)=	UWA	12	BODY|ARGS
1904	RLx	act=(fxmailselfremove|encoder|eval|sql|phpinfo)	UWA	12	BODY|ARGS
1905	RLx	_act=(execute|list\s+files|upload)	UWA	12	BODY|ARGS
1906	RL	cmd_txt=1	UWA	8	ARGS
1907	RL	c99.php	UWA	12	URL
1908	RLx	(\s|\+|#)cmd=	UWA	12	BODY|URL|ARGS|HEADERS
1909	RLx	c999sh_surl|c999shvars	UWA	12	Cookie
1910	RL	webconfig.txt.php	UWA	12	URL
1911	RL	wpad.dat	UWA	12	URL
1913	RL	composer.phar	UWA	12	URL
1914	RLx	adminer.*\.php	UWA	12	URL
1915	RLx	(wso|r57|r57shell)\.php	UWA	12	URL
1917	RL	/admin/templates/header.php	UWA	8	URL
1918	RL	/soapcaller.bs	UWA	12	URL
1919	RL	/plugin_googlemap2_proxy.php	UWA	12	URL
1920	RL	/images/stories/story.php	UWA	12	URL
1921	RLx	/plugins/system/.{1,250}\.php	UWA	12	URL
1922	RL	/.ssh/	UWA	12	URL
1923	RL	/known_hosts	UWA	12	URL
1924	RL	/authorized_keys	UWA	12	URL
1925	RLx	\.(key|pem|id_rsa|id_dsa)($|\s)	UWA	12	URL
1926	RLx	\.(sh|bash|nano|irb|psql|mysql)_history($|\s)	UWA	12	URL
1927	RLx	\.(bac|bak|bkp|bkf|bkp|back|backup|bakup)($|\s)	UWA	12	URL
1928	RLx	\.(history|histfile)($|\s)	UWA	12	URL
1929	RL	proftpdpasswd	UWA	12	URL
2100	RLx	nessus|acunetix|nmap|sqlmap|[nw]ikto|dirbuster|gobuster|w3af|webster|openvas|meterpreter|network-services-auditor|wpscan|hydra|XSpider|Nuclei	Scanner	12	User-agent
2101	RLx	absinthe|autogetcolumn|bsqlbf|cisco-torch|crimscanner|appscan_fingerprint|amiga-aweb|digimarc webreader	Scanner	12	User-agent
2102	RLx	sql\s+power\s+injector|dav\.pm|prog.customcrawler|whcc|grendel-scan|masscan	Scanner	12	User-agent
2103	RLx	shellshock-scan|thanks-rob|WebCruiser|webinspect|whisker|chinaclaw|whatweb|wordpress hash grabber	Scanner	12	User-agent
2104	RLx	mysqloit|netsparker|paros|pavuk|uil2pn|friendly-scanner|sundayddr|zmeu|sqlspider|Evasions	Scanner	12	User-agent
2105	RLx	apachebench|datacha0s|nv32ts|brutus|arachni|synapse|havij|sucuri|sitelock|scanalert	Scanner	12	User-agent
2106	RLx	http_get_vars|n-stealth|picscout|t34mh4k|webshag|mozilla/\d+\.\d+\s+sf	Scanner	12	User-agent
2107	RL	++++++++result	Scanner	12	URL
2112	RL	/jmx-console/htmladaptor	Scanner	12	URL
2115	RLx	php/\d+\.|python-httplib|winhttprequest|pymills-spider/|^\.	Scanner	1	User-agent
2116	RL	internal dummy connection	Scanner	12	User-agent
2400	RL	base64	Evasion	4	URL|ARGS
2401	RL	cghwaw5mbygpoyag	Evasion	12	BODY|URL|ARGS|HEADERS
2402	RL	http://http://	Other	12	HEADERS
2403	RLx	boundary=\S+[,|;]	Evasion	12	HEADERS
2404	RL	mid%	Evasion	8	URL|ARGS
2405	RL	dual	Evasion	2	URL|ARGS
2406	RL	strcmp(	RCE	8	URL|ARGS
2407	RLx	(\\[0-7]{1,3}){3,}	Evasion	8	BODY|URL|ARGS|HEADERS
